text,label_meaning,label_predicted
唉，奶奶，这个人你才熟悉呢，可就是不能告诉你。,5. emphasize a fact,0
外地人购物常去南京路，其实淮海路才是精品荟萃之处。,5. emphasize a fact,0
这才是真正的张小泉剪刀。,5. emphasize a fact,4
这才是北大水平。,5. emphasize a fact,0
北京的琉璃制品才是中华国粹。,5. emphasize a fact,0
咸板鸭才是南京的名产，要热吃，也是香得好。,5. emphasize a fact,0
这所房于从运河中看，好像在水里。下两层是玲珑的架子，上一层才是屋子。,5. emphasize a fact,1
说老实话，想他了吧？我才不想他呢！,5. emphasize a fact,0
这是怎么说的！吃药了吗？我才不吃药。,5. emphasize a fact,0
我知说！可是，我才不怕！六十岁了，也该死了，我怕什么。,5. emphasize a fact,0
我干吗呀？我才不把新裤子、新毛衣都弄湿了呢。,5. emphasize a fact,0
秦始皇姓什么？难道姓秦吗？才不呢。,5. emphasize a fact,0
这个人才不文明呢。,5. emphasize a fact,0
本党对于国家兴亡，必当尽其心思才力，贯彻始终。,0. not adverb,0
为满足“引才”需求，新疆对应聘大学生作出硬性规定：须政治素质好、学业成绩优良、志愿到基层一线和艰苦地区工作。,0. not adverb,0
在改革开放的新时代，杰出的人才不断地涌现出来。,0. not adverb,0
老胡很有才华，写得一手好文章。,0. not adverb,5
哥哥的才干得到了领导的赏识，工作没多久就被委以重任。,0. not adverb,5
天才在于积累，聪明在于勤奋。,0. not adverb,0
他才气很高，所写作品确有过人之处，是我们望尘莫及的。,0. not adverb,5
